date,Alkalinity to pH 4.5 as CaCO3,Ammonia un-ionised as N,Nitrite as N,"Nitrogen, Total Oxidised as N","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",pH,date
2003-05-12,192.0,0.00061,0.0314,6.78,0.07,11.3,103.6,8.24,2003-05-12
2003-06-19,216.0,0.00174,0.0556,6.66,0.08,10.3,107.0,7.97,2003-06-19
2003-06-23,175.0,0.00092,0.0407,5.02,0.121,8.85,92.5,7.83,2003-06-23
2003-07-16,193.0,0.00117,0.0267,5.73,0.1,8.72,94.5,8.07,2003-07-16
2003-08-11,192.0,0.00118,0.0169,5.48,0.09,9.85,110.0,8.15,2003-08-11
2003-09-08,207.0,0.00059,0.0142,5.86,0.11,11.2,111.1,7.88,2003-09-08
2003-10-21,226.0,0.00043,0.028,6.39,0.165,12.3,100.4,8.25,2003-10-21
2003-11-13,233.0,0.00052,0.0441,5.66,0.184,10.7,93.1,8.03,2003-11-13
2004-02-09,218.0,0.00043,0.0142,9.14,0.04,12.2,100.0,8.0,2004-02-09
2004-03-12,218.0,0.00041,0.0224,7.7,0.06,11.8,94.9,8.31,2004-03-12
2004-03-24,215.0,0.00051,0.0157,7.4,0.05,7.47,64.7,8.31,2004-03-24
2004-04-15,220.0,0.00058,0.0247,7.83,0.03,13.8,124.6,8.19,2004-04-15
2004-05-11,219.0,0.00069,0.0202,7.69,0.05,12.5,119.2,8.18,2004-05-11
2004-06-10,219.0,0.00097,0.0343,7.05,0.061,10.8,113.9,8.03,2004-06-10
2004-06-24,212.0,0.00067,0.0284,6.04,0.039,11.0,104.0,8.18,2004-06-24
2004-08-12,207.0,0.00087,0.0163,5.62,0.057,10.2,104.1,8.19,2004-08-12
2004-09-07,204.0,0.00109,0.0119,5.53,0.074,9.57,97.0,8.16,2004-09-07
2004-12-06,226.0,0.00052,0.0219,7.6,0.06,11.0,96.5,8.23,2004-12-06
2004-12-21,228.0,0.00042,0.018,7.26,0.061,12.2,99.0,8.18,2004-12-21
2005-01-19,219.0,0.00042,0.0175,7.75,0.054,12.2,99.3,8.22,2005-01-19
2005-03-18,208.0,0.0006,0.0199,6.86,0.066,13.7,125.0,8.55,2005-03-18
2005-05-16,206.0,0.00067,0.0189,6.14,0.028,13.5,127.8,8.54,2005-05-16
2005-06-22,203.0,3e-05,0.0219,5.71,0.065,11.6,128.9,6.45,2005-06-22
2005-07-01,209.0,0.00082,0.021,5.51,0.068,10.3,103.5,8.13,2005-07-01
2005-07-08,212.0,0.00089,0.0164,5.78,0.067,10.7,110.5,8.11,2005-07-08
2005-07-15,204.0,0.00094,0.0218,5.47,0.09,8.69,93.8,7.95,2005-07-15
2005-07-28,198.0,0.00088,0.0206,5.19,0.124,9.48,94.6,8.1,2005-07-28
2005-08-17,212.0,0.00068,0.0122,5.16,0.087,11.3,120.1,7.83,2005-08-17
2005-09-13,215.0,0.00081,0.0197,5.31,0.125,9.69,97.1,8.24,2005-09-13
2005-09-23,206.0,0.00076,0.0172,5.12,0.105,11.1,109.6,8.08,2005-09-23
2005-10-20,211.0,0.0006,0.0141,5.07,0.149,10.1,92.1,8.14,2005-10-20
2005-11-08,227.0,0.00063,0.0165,6.19,0.095,9.82,91.1,8.1,2005-11-08
2005-12-09,233.0,0.00046,0.0151,8.18,0.052,12.6,105.6,8.17,2005-12-09
2006-01-17,213.0,0.00049,0.021,7.65,0.076,12.6,108.2,8.25,2006-01-17
2006-02-13,220.0,0.0005,0.0257,7.31,0.061,12.3,105.8,8.25,2006-02-13
2006-03-13,215.0,0.00043,0.0148,6.89,0.059,16.4,134.2,8.29,2006-03-13
2006-03-27,201.0,0.00061,0.0199,6.48,0.062,12.4,113.7,8.36,2006-03-27
2006-04-21,233.0,0.00066,0.0194,7.11,0.028,11.8,111.0,8.4,2006-04-21
2006-05-16,201.0,0.00075,0.0269,7.12,0.064,12.4,120.1,8.11,2006-05-16
2006-06-29,214.0,0.00093,0.0191,6.51,0.03,11.2,116.5,8.31,2006-06-29
2006-09-12,198.0,0.00087,0.0119,5.21,0.097,9.91,101.4,8.18,2006-09-12
2006-10-10,221.0,0.00076,0.0119,6.1,0.056,11.4,111.6,8.01,2006-10-10
2006-10-16,226.0,0.00069,0.0135,6.54,0.07,9.75,93.0,8.07,2006-10-16
2006-11-14,227.0,0.00058,0.0124,7.15,0.057,10.8,97.5,8.1,2006-11-14
2006-12-11,224.0,0.00061,0.0172,8.54,0.049,10.2,90.9,7.92,2006-12-11
2007-02-12,204.0,0.00059,0.0134,7.5,0.045,11.0,94.7,8.07,2007-02-12
2007-03-12,180.0,0.00058,0.0092,8.44,0.02,11.6,105.4,8.2,2007-03-12
2007-04-16,196.0,0.00083,0.0143,6.8,0.034,11.4,114.8,8.34,2007-04-16
2007-05-14,215.0,0.00108,0.0237,6.27,0.063,10.1,93.0,8.13,2007-05-14
2007-06-11,200.0,0.00091,0.0172,6.19,0.039,10.9,113.7,8.0,2007-06-11
2007-07-17,217.0,0.00079,0.0154,7.19,0.032,10.5,104.8,8.25,2007-07-17
2007-09-25,234.0,0.00063,0.018,6.57,0.045,10.6,98.8,8.03,2007-09-25
2007-10-15,226.0,0.00068,0.0224,6.44,0.067,12.1,114.7,8.1,2007-10-15
2007-11-16,215.0,0.0004,0.0194,6.96,0.062,12.3,98.5,8.11,2007-11-16
2007-12-11,227.0,0.00042,0.0201,7.37,0.048,11.6,94.7,7.89,2007-12-11
2008-01-14,221.0,0.00049,0.0156,6.95,0.049,11.1,93.7,8.0,2008-01-14
2008-02-11,223.0,0.00041,0.0117,7.72,0.031,11.6,93.2,8.0,2008-02-11
2008-03-10,211.0,0.00048,0.0156,6.66,0.051,11.0,93.2,8.28,2008-03-10
2008-04-20,215.0,0.00051,0.0147,7.17,0.024,11.1,96.5,8.2,2008-04-20
2008-05-14,205.0,0.00079,0.0246,6.17,0.034,12.3,122.3,8.41,2008-05-14
2008-06-09,214.0,0.00089,0.026,6.81,0.044,9.91,102.0,8.12,2008-06-09
2008-07-15,220.0,0.00091,0.0245,5.96,0.055,10.6,109.7,8.29,2008-07-15
2008-08-15,215.0,0.00077,0.0152,5.44,0.048,10.7,105.9,8.24,2008-08-15
2008-09-19,215.0,0.00067,0.011,7.22,0.026,10.5,99.1,8.04,2008-09-19
2008-10-14,224.0,0.00064,0.0132,6.72,0.04,10.6,99.1,8.16,2008-10-14
2008-11-13,222.0,0.00047,0.0129,6.53,0.047,11.2,94.3,8.06,2008-11-13
2008-11-28,226.0,0.00047,0.0156,6.93,0.039,11.5,97.1,8.18,2008-11-28
2009-01-27,220.0,0.00043,0.0138,6.87,0.038,11.9,96.8,8.14,2009-01-27
2009-02-25,226.0,0.00052,0.0137,7.4,0.031,10.1,88.2,8.12,2009-02-25
2009-03-17,222.0,0.00052,0.0135,7.13,0.039,12.5,109.3,8.13,2009-03-17
2009-04-22,215.0,0.00072,0.0185,6.18,0.047,11.6,112.3,8.16,2009-04-22
2009-05-18,223.0,0.00066,0.0226,5.33,0.045,11.2,105.0,8.22,2009-05-18
2009-06-10,213.0,0.00052,0.0204,5.42,0.055,13.0,113.7,8.39,2009-06-10
2009-07-25,212.0,0.00093,0.0149,4.78,0.075,11.3,117.8,8.33,2009-07-25
2009-08-08,216.0,0.00116,0.0152,4.41,0.071,10.6,106.5,8.16,2009-08-08
2009-09-14,221.0,0.00073,0.0109,4.61,0.07,10.5,101.9,8.3,2009-09-14
2009-10-23,225.0,0.00062,0.0144,4.76,0.072,11.5,106.2,8.24,2009-10-23
2009-11-23,196.0,0.00055,0.0141,5.38,0.073,10.7,94.9,8.06,2009-11-23
2009-12-01,224.0,0.00045,0.0108,6.8,0.047,11.2,92.2,8.0,2009-12-01
2010-01-22,216.0,0.00067,0.0147,6.16,0.051,11.0,94.0,8.09,2010-01-22
2010-03-05,221.0,0.00047,0.0103,7.48,0.025,12.1,102.2,8.42,2010-03-05
2010-03-26,223.0,0.00055,0.0126,6.23,0.035,11.2,99.8,8.2,2010-03-26
2010-04-29,218.0,0.00064,0.0152,6.58,0.02,10.6,98.8,8.25,2010-04-29
2010-05-25,212.0,0.00089,0.0252,5.83,0.049,10.6,109.1,8.21,2010-05-25
2010-06-28,213.0,0.00115,0.0206,5.23,0.048,10.2,113.4,8.33,2010-06-28
2010-07-13,210.0,0.0007,0.017,5.16,0.045,9.63,97.6,7.92,2010-07-13
2010-08-18,212.0,0.00086,0.0113,4.68,0.055,10.8,109.8,8.35,2010-08-18
2010-09-22,216.0,0.00053,0.0108,4.9,0.085,10.2,97.5,7.88,2010-09-22
2010-10-20,218.0,0.00048,0.0101,5.05,0.068,11.4,96.6,8.29,2010-10-20
2010-11-17,229.0,0.00042,0.0137,5.75,0.064,11.8,95.7,8.1,2010-11-17
2010-12-13,222.0,0.00039,0.0173,5.58,0.064,12.3,97.9,8.26,2010-12-13
2011-01-15,218.0,0.00112,0.0175,6.63,0.056,10.8,92.7,7.96,2011-01-15
2011-02-18,236.0,0.00045,0.015,6.58,0.054,11.7,97.6,8.13,2011-02-18
2011-03-23,213.0,0.00065,0.0146,6.53,0.041,12.4,116.3,8.32,2011-03-23
2011-04-14,223.0,0.00055,0.0144,5.78,0.027,11.8,105.0,8.26,2011-04-14
2011-05-11,214.0,0.00075,0.0248,5.11,0.056,11.2,107.0,8.35,2011-05-11
2011-07-08,208.0,0.00078,0.0127,4.43,0.059,10.6,105.2,8.34,2011-07-08
2011-08-15,211.0,0.00083,0.0084,3.73,0.072,11.0,111.3,8.24,2011-08-15
2011-09-06,215.0,0.00073,0.0083,4.48,0.095,9.33,90.6,8.24,2011-09-06
2011-10-24,225.0,0.00067,0.0145,4.4,0.112,11.0,104.0,8.34,2011-10-24
2011-11-16,224.0,0.00048,0.0128,4.11,0.151,11.5,97.9,8.3,2011-11-16
2011-12-12,202.0,0.00039,0.0163,4.53,0.137,12.8,100.6,8.25,2011-12-12
2012-01-09,220.0,0.00052,0.0125,5.89,0.077,11.3,98.7,8.24,2012-01-09
2012-03-09,222.0,0.0005,0.0089,5.6,0.053,12.0,103.2,8.28,2012-03-09
2012-03-27,218.0,0.00054,0.014,5.29,0.065,12.0,105.9,8.19,2012-03-27
2012-04-20,209.0,0.00052,0.0324,4.69,0.072,12.2,106.5,8.37,2012-04-20
2012-05-04,219.0,0.00045,0.0193,5.87,0.054,8.02,70.7,7.92,2012-05-04
2012-07-13,211.0,0.00062,0.017,5.3,0.054,8.74,83.0,7.93,2012-07-13
2012-10-17,218.0,0.00059,0.0098,5.89,0.029,9.33,84.8,8.14,2012-10-17
2012-11-08,233.0,0.00049,0.0116,6.45,0.041,9.95,86.0,7.99,2012-11-08
2012-11-13,221.0,0.00052,0.0134,6.76,0.056,10.1,88.0,8.0,2012-11-13
2012-11-29,225.0,0.00038,0.0154,6.33,0.044,10.2,80.0,8.07,2012-11-29
2012-12-11,233.0,0.00036,0.0122,6.84,0.062,10.8,83.0,8.13,2012-12-11
2012-12-13,224.0,0.00036,0.0099,6.65,0.02,11.2,85.9,8.25,2012-12-13
2013-01-25,224.0,0.00038,0.0111,6.47,0.024,10.5,83.1,8.19,2013-01-25
2013-02-08,225.0,0.0004,0.0111,6.65,0.02,11.2,90.0,8.13,2013-02-08
2013-03-08,230.0,0.00064,0.0141,6.19,0.025,9.67,84.2,8.21,2013-03-08
2013-05-10,215.0,0.00058,0.0133,5.54,0.02,9.24,83.4,8.17,2013-05-10
2013-05-17,217.0,0.00056,0.0162,5.56,0.02,12.8,115.0,8.34,2013-05-17
2013-05-29,214.0,0.00102,0.0184,5.27,0.022,9.43,85.1,8.1,2013-05-29
2013-07-10,215.0,0.00089,0.0203,4.46,0.039,9.04,93.0,8.22,2013-07-10
2013-08-19,213.0,0.00079,0.0138,4.53,0.056,8.77,87.4,8.23,2013-08-19
2013-09-10,212.0,0.00064,0.012,4.36,0.075,9.52,89.0,8.21,2013-09-10
2013-10-01,219.0,0.00067,0.0132,4.35,0.096,8.46,80.0,8.22,2013-10-01
2013-11-14,222.0,0.00048,0.0123,6.09,0.043,10.4,88.0,8.01,2013-11-14
2013-12-06,226.0,0.00042,0.0167,6.0,0.038,11.1,90.0,8.17,2013-12-06
2014-03-21,232.0,0.00051,0.0124,5.96,0.02,10.5,91.0,8.06,2014-03-21
2014-06-06,206.0,0.00067,0.0169,4.88,0.032,10.0,95.0,8.25,2014-06-06
2014-09-19,202.0,0.00081,0.0114,4.15,0.074,8.39,84.0,8.05,2014-09-19
2014-12-03,231.0,0.00042,0.0126,5.81,0.044,10.6,86.0,8.07,2014-12-03
2015-01-14,218.0,0.00043,0.0169,5.82,0.048,11.0,89.5,8.13,2015-01-14
2015-06-02,218.0,0.00065,0.0208,4.8,0.033,8.52,80.0,8.02,2015-06-02
2015-09-22,198.0,0.00066,0.0097,3.39,0.058,8.18,77.1,8.23,2015-09-22
2015-12-07,225.0,0.00062,0.0112,5.66,0.041,9.31,86.2,8.16,2015-12-07
2016-02-15,207.0,0.00041,0.0095,6.7,0.011,16.5,133.0,8.53,2016-02-15
2016-05-25,225.0,0.00061,0.0125,5.45,0.026,9.69,88.9,8.23,2016-05-25
2016-10-12,227.0,0.00059,0.0059,5.26,0.041,11.9,108.6,8.32,2016-10-12
2016-11-17,229.0,0.00051,0.0366,4.81,0.058,10.9,94.6,8.22,2016-11-17
2017-03-07,234.0,0.00047,0.0061,5.4,0.029,11.2,94.2,8.1,2017-03-07
2017-06-19,222.0,0.00116,0.0119,3.91,0.042,10.7,118.5,8.16,2017-06-19
2000-01-24,241.0,0.002,0.042,5.9,0.164,11.78,93.6,8.2,2000-01-24
2000-02-24,232.0,0.002,0.053,6.01,0.208,10.67,92.6,8.1,2000-02-24
2000-03-21,231.0,0.001,0.03,5.76,0.16,11.52,99.1,8.3,2000-03-21
2000-04-18,170.0,0.002,0.041,4.37,0.156,11.3,98.6,8.0,2000-04-18
2000-04-26,172.0,0.003,0.041,3.94,0.11,9.92,91.9,8.0,2000-04-26
2000-05-25,250.0,0.002,0.036,4.88,0.124,10.27,97.5,8.2,2000-05-25
2000-06-20,248.0,0.004,0.054,5.15,0.194,8.04,86.9,8.4,2000-06-20
2000-08-22,237.0,0.0026,0.041,5.22,0.305,9.72,99.6,8.3,2000-08-22
2000-08-31,246.0,0.007,0.057,5.65,0.269,8.39,84.8,8.3,2000-08-31
2000-09-25,227.0,0.0025,0.041,4.64,0.367,8.27,82.6,8.2,2000-09-25
2000-10-23,198.0,0.0037,0.064,4.46,0.232,9.73,89.3,8.0,2000-10-23
2000-11-07,87.0,0.0025,0.065,3.67,0.342,11.9,102.8,7.9,2000-11-07
2001-02-01,208.0,0.0018,0.036,5.4,0.15,11.4,90.7,8.1,2001-02-01
2001-03-21,159.0,0.0023,0.0352,4.04,0.103,9.49,74.9,8.05,2001-03-21
2001-05-24,225.0,0.0022,0.0439,5.7,0.131,9.48,94.7,8.12,2001-05-24
2001-06-11,239.0,0.0021,0.0442,6.18,0.101,10.7,100.3,8.09,2001-06-11
2001-06-20,227.0,0.0025,0.0484,5.61,0.109,10.2,102.1,7.96,2001-06-20
2001-06-27,238.0,0.0046,0.0543,5.61,0.138,8.28,90.4,8.0,2001-06-27
2001-08-25,240.0,0.0028,0.0398,5.5,0.228,8.47,91.0,8.12,2001-08-25
2001-09-17,233.0,0.0041,0.0538,6.45,0.395,9.75,94.5,8.31,2001-09-17
2001-10-23,192.0,0.0077,0.0631,4.02,0.174,9.58,92.2,8.05,2001-10-23
2001-11-29,206.0,0.0034,0.0585,4.8,0.257,11.2,95.9,8.36,2001-11-29
2002-04-05,212.0,0.0015,0.0293,5.8,0.172,10.4,95.4,8.12,2002-04-05
2002-04-11,215.0,0.0007,0.0279,6.15,0.129,10.5,91.1,8.45,2002-04-11
2002-04-22,216.0,0.0016,0.0419,6.07,0.126,9.61,90.0,8.15,2002-04-22
2002-05-03,200.0,0.0021,0.0326,5.18,0.121,10.6,98.7,8.19,2002-05-03
2002-07-23,247.0,0.0057,0.0731,5.98,0.184,8.86,92.6,8.15,2002-07-23
2002-08-10,229.0,0.005,0.0639,5.11,0.183,8.61,90.5,8.4,2002-08-10
2002-08-20,250.0,0.0041,0.1,5.64,0.235,8.02,87.8,8.1,2002-08-20
2002-09-13,230.0,0.0049,0.0753,5.57,0.222,8.88,93.3,8.1,2002-09-13
2002-10-28,213.0,0.00452,0.0628,5.95,0.206,10.6,94.3,8.4,2002-10-28
2002-11-22,189.0,0.00353,0.0508,5.47,0.181,10.3,90.4,8.09,2002-11-22
2002-12-13,222.0,0.00331,0.0481,5.96,0.147,11.8,95.7,8.36,2002-12-13
2003-01-21,176.0,0.00206,0.0397,4.89,0.165,11.7,97.5,8.39,2003-01-21
2003-03-25,235.0,0.00232,0.0333,6.88,0.147,10.9,100.3,8.36,2003-03-25
2003-04-17,226.0,0.00292,0.0584,7.94,0.112,12.1,121.5,8.48,2003-04-17
2003-04-24,225.0,0.00249,0.0439,6.37,0.132,10.1,93.3,8.25,2003-04-24
2003-05-20,238.0,0.00597,0.069,5.59,0.153,9.9,92.6,8.2,2003-05-20
2003-06-20,235.0,0.00432,0.0711,6.11,0.177,8.13,87.7,8.0,2003-06-20
2003-07-22,240.0,0.00422,0.0761,6.4,0.145,8.23,90.8,8.15,2003-07-22
2003-08-18,236.0,0.00451,0.0763,6.68,0.171,8.92,99.7,7.9,2003-08-18
2003-09-20,254.0,0.00478,0.199,7.37,0.304,8.19,83.6,7.44,2003-09-20
2003-10-21,256.0,0.011,0.16,7.78,0.315,10.6,91.7,8.26,2003-10-21
2003-12-15,118.0,0.00199,0.0533,2.78,0.119,10.9,97.2,7.73,2003-12-15
2003-12-17,205.0,0.00127,0.0744,6.13,0.239,11.7,90.1,7.49,2003-12-17
2006-12-13,206.0,0.00131,0.0324,5.67,0.135,11.1,97.6,8.0,2006-12-13
2007-01-22,204.0,0.00119,0.0329,5.43,0.149,11.3,93.8,8.0,2007-01-22
2007-02-19,216.0,0.00062,0.026,5.72,0.113,11.1,96.6,8.1,2007-02-19
2007-03-19,207.0,0.00053,0.0176,6.01,0.079,11.2,96.0,8.2,2007-03-19
2007-04-25,241.0,0.00075,0.0206,5.64,0.051,9.9,97.2,8.2,2007-04-25
2007-05-24,223.0,0.00181,0.0339,5.11,0.106,8.86,93.1,8.1,2007-05-24
2007-06-21,206.0,0.001,0.0223,3.2,0.108,8.86,94.4,8.08,2007-06-21
2007-08-23,250.0,0.00105,0.0185,5.23,0.08,9.6,95.5,8.16,2007-08-23
2007-09-11,253.0,0.00085,0.0139,5.82,0.084,9.64,97.9,8.2,2007-09-11
2007-09-20,248.0,0.00085,0.0136,6.02,0.082,10.3,100.6,8.2,2007-09-20
2007-10-25,259.0,0.00129,0.0161,5.83,0.112,10.9,96.8,8.1,2007-10-25
2007-11-13,246.0,0.00061,0.0178,5.88,0.115,11.3,97.7,8.1,2007-11-13
2007-11-19,252.0,0.00133,0.0326,5.52,0.119,11.8,97.5,8.1,2007-11-19
2008-01-24,217.0,0.00112,0.0273,5.48,0.124,10.8,94.8,8.09,2008-01-24
2008-02-22,241.0,0.00068,0.0179,6.13,0.09,11.4,99.0,8.2,2008-02-22
2008-03-17,136.0,0.00182,0.0234,3.78,0.138,11.2,95.1,7.8,2008-03-17
2008-04-21,220.0,0.00206,0.0165,6.89,0.049,11.3,103.8,8.23,2008-04-21
2008-05-22,122.0,0.00144,0.0226,5.18,0.122,10.2,101.4,8.2,2008-05-22
2008-06-16,227.0,0.00079,0.0191,4.92,0.069,9.71,96.6,8.2,2008-06-16
2008-07-31,226.0,0.00315,0.0234,4.96,0.125,8.74,96.6,8.1,2008-07-31
2008-08-18,232.0,0.00085,0.0147,5.1,0.123,9.42,95.7,8.2,2008-08-18
2008-09-15,236.0,0.00076,0.0142,4.91,0.151,9.89,96.2,8.1,2008-09-15
2008-10-22,231.0,0.00075,0.0138,4.87,0.126,10.3,93.7,8.1,2008-10-22
2008-11-19,238.0,0.00092,0.0234,4.99,0.124,10.8,96.5,8.11,2008-11-19
2008-12-15,155.0,0.00063,0.0245,4.33,0.131,11.8,94.9,8.0,2008-12-15
2009-01-04,238.0,0.00055,0.0268,6.33,0.15,14.2,105.7,8.2,2009-01-04
2009-02-09,173.0,0.00464,0.0233,4.33,0.109,11.7,91.4,8.0,2009-02-09
2009-03-01,239.0,0.00066,0.0261,6.07,0.076,11.3,97.3,8.19,2009-03-01
2009-04-05,240.0,0.00046,0.014,5.67,0.083,13.8,116.0,8.14,2009-04-05
2009-04-28,215.0,0.00059,0.0137,5.74,0.036,10.7,97.3,8.2,2009-04-28
2009-05-26,235.0,0.0021,0.0365,5.58,0.121,9.02,89.7,8.0,2009-05-26
2009-07-09,224.0,0.00157,0.0227,5.05,0.095,8.8,93.2,8.0,2009-07-09
2009-07-28,232.0,0.00132,0.0234,5.25,0.169,8.72,90.8,8.03,2009-07-28
2009-08-08,210.0,0.00093,0.0138,4.5,0.062,10.2,107.0,8.08,2009-08-08
2009-09-17,255.0,0.0008,0.025,4.89,0.086,9.71,96.9,8.16,2009-09-17
2009-10-27,241.0,0.00098,0.025,6.14,0.259,9.53,90.7,7.9,2009-10-27
2009-11-30,132.0,0.00087,0.0248,3.82,0.104,10.9,91.8,7.8,2009-11-30
2010-01-15,193.0,0.00132,0.0383,4.9,0.158,12.2,95.7,7.9,2010-01-15
2010-02-08,227.0,0.00151,0.049,5.97,0.072,11.4,91.6,8.2,2010-02-08
2010-03-05,216.0,0.00099,0.0422,5.53,0.048,12.2,98.0,8.1,2010-03-05
2010-03-29,213.0,0.00055,0.0165,4.78,0.025,10.3,91.2,8.2,2010-03-29
2013-01-17,241.0,0.00048,0.0235,6.04,0.094,13.6,105.3,8.08,2013-01-17
2013-04-11,202.0,0.00142,0.0173,4.56,0.029,9.99,84.9,8.23,2013-04-11
2013-08-01,220.0,0.00192,0.0236,4.64,0.172,6.63,72.7,8.0,2013-08-01
2013-10-03,244.0,0.00127,0.0215,6.49,0.149,7.5,77.7,8.07,2013-10-03
2014-02-03,197.0,0.00047,0.02,4.51,0.082,10.9,87.7,7.96,2014-02-03
2014-05-08,220.0,0.00175,0.0284,5.15,0.071,7.96,75.7,8.12,2014-05-08
2014-08-28,211.0,0.00297,0.0312,5.19,0.146,7.64,77.5,8.06,2014-08-28
2014-11-06,228.0,0.00067,0.0155,5.69,0.146,9.0,75.8,7.95,2014-11-06
2015-03-13,229.0,0.00077,0.011,6.17,0.071,10.6,92.5,8.2,2015-03-13
2015-06-04,233.0,0.00096,0.0374,6.47,0.082,7.65,80.5,8.07,2015-06-04
2015-09-01,212.0,0.00401,0.019,4.64,0.183,7.22,73.2,7.92,2015-09-01
2015-11-23,221.0,0.00068,0.0115,5.3,0.144,10.7,88.9,8.12,2015-11-23
2016-01-27,204.0,0.00108,0.0207,5.18,0.093,9.76,88.1,8.23,2016-01-27
2016-04-01,205.0,0.00066,0.012,4.62,0.061,9.04,78.2,8.13,2016-04-01
2016-07-14,226.0,0.00146,0.0207,5.68,0.086,7.19,72.9,8.23,2016-07-14
2016-10-06,231.0,0.00123,0.0136,7.0,0.156,8.92,83.6,8.12,2016-10-06
2017-02-01,174.0,0.00076,0.0212,5.45,0.11,9.53,81.0,7.95,2017-02-01
2017-05-05,226.0,0.00082,0.017,6.39,0.105,10.4,99.7,8.08,2017-05-05
2019-04-17,225.0,0.00064,0.0095,6.49,0.072,9.23,83.7,8.02,2019-04-17
2019-05-31,228.0,0.00154,0.0226,6.57,0.099,9.18,93.5,8.22,2019-05-31
2019-06-19,166.0,0.00445,0.0359,2.08,0.065,8.85,89.6,8.09,2019-06-19
2019-07-31,220.0,0.00161,0.021,5.9,0.16,6.48,69.2,8.15,2019-07-31
2019-08-16,210.0,0.00108,0.018,6.3,0.17,8.61,89.0,8.14,2019-08-16
2019-09-05,220.0,0.00089,0.016,7.0,0.11,7.56,78.0,8.22,2019-09-05
2019-10-28,180.0,0.00064,0.015,4.7,0.099,10.8,92.5,7.97,2019-10-28
2019-11-21,235.0,0.001,0.0223,5.87,0.099,9.65,80.0,8.08,2019-11-21
2019-12-10,200.0,0.00091,0.019,4.4,0.062,9.85,81.9,8.12,2019-12-10
2020-01-15,200.0,0.00186,0.03,4.4,0.1,8.96,77.7,8.04,2020-01-15
2020-02-20,190.0,0.00072,0.019,4.6,0.095,11.4,96.4,8.01,2020-02-20
2020-03-10,210.0,0.00067,0.016,4.6,0.042,11.2,98.1,8.1,2020-03-10
2020-11-04,170.0,0.00054,0.017,4.5,0.12,10.7,92.9,8.09,2020-11-04
2020-12-01,240.0,0.0007,0.014,6.6,0.09,11.3,96.0,8.18,2020-12-01
2021-01-08,230.0,0.00056,0.017,6.8,0.12,12.4,97.1,8.24,2021-01-08
2021-02-11,220.0,0.00043,0.011,6.0,0.078,13.4,101.2,8.17,2021-02-11
2021-03-09,240.0,0.00043,0.0095,6.6,0.05,12.1,99.4,8.25,2021-03-09
2021-04-08,230.0,0.00046,0.0084,6.7,0.023,10.7,89.7,8.27,2021-04-08
2021-05-05,220.0,0.00079,0.016,5.7,0.055,11.0,98.7,8.18,2021-05-05
2021-06-04,230.0,0.00295,0.043,5.4,0.037,9.04,92.8,7.96,2021-06-04
2021-07-13,210.0,0.0021,0.028,4.5,0.13,8.9,91.8,7.95,2021-07-13
2021-08-18,240.0,0.0013,0.016,5.8,0.15,9.12,94.4,8.05,2021-08-18
2021-09-10,240.0,0.0015,0.021,6.2,0.19,8.42,89.9,7.95,2021-09-10
2021-10-06,170.0,0.00089,0.013,4.0,0.13,10.2,95.0,7.99,2021-10-06
2021-11-11,240.0,0.0008,0.015,6.0,0.13,10.4,95.6,8.03,2021-11-11
2021-12-09,230.0,0.00058,0.018,5.8,0.14,12.2,95.9,8.17,2021-12-09
2022-01-20,230.0,0.00056,0.015,6.4,0.11,12.5,98.3,8.24,2022-01-20
2022-02-10,230.0,0.00079,0.015,6.2,0.12,11.5,97.9,8.27,2022-02-10
2022-03-09,220.0,0.00066,0.013,6.2,0.088,11.9,101.7,8.24,2022-03-09
2022-04-06,230.0,0.00056,0.012,6.2,0.047,9.74,87.3,8.16,2022-04-06
2022-05-24,220.0,0.00143,0.025,5.9,0.093,9.63,96.6,8.07,2022-05-24
2022-06-15,230.0,0.003,0.036,5.6,0.12,8.9,95.4,8.05,2022-06-15
2022-08-17,230.0,0.0016,0.023,6.2,0.088,7.29,81.7,7.9,2022-08-17
2022-09-23,240.0,0.00073,0.023,8.7,0.1,9.05,91.0,7.95,2022-09-23
2022-10-21,210.0,0.00143,0.017,4.6,0.11,9.78,95.3,8.34,2022-10-21
2022-11-09,190.0,0.00085,0.018,5.3,0.099,8.65,80.6,7.93,2022-11-09
2022-12-07,230.0,0.00073,0.02,6.6,0.096,12.2,96.4,8.03,2022-12-07
2023-01-17,150.0,0.00034,0.018,3.5,0.12,11.6,90.6,7.78,2023-01-17
2023-02-13,250.0,0.00114,0.017,6.3,0.066,10.9,93.0,8.21,2023-02-13
2023-03-08,170.0,0.00345,0.025,4.3,0.068,12.6,101.6,8.09,2023-03-08
2023-05-02,240.0,0.0046,0.032,5.4,0.029,10.4,97.9,8.23,2023-05-02
2023-06-06,240.0,0.00152,0.027,5.6,0.044,9.23,90.8,8.12,2023-06-06
2003-01-27,190.0,0.00101,0.0293,3.54,0.143,11.2,96.6,7.5,2003-01-27
2003-03-24,209.0,0.00123,0.032,5.52,0.25,12.5,114.9,8.2,2003-03-24
2003-03-25,204.0,0.00145,0.029,4.21,0.359,12.7,122.0,8.2,2003-03-25
2003-06-19,206.0,0.00467,0.146,5.51,0.594,7.62,79.0,7.7,2003-06-19
2003-06-29,204.0,0.00074,0.0249,5.4,0.551,8.78,91.7,7.9,2003-06-29
